holding_id,holding_type,mainland_zanzibar,region,stratum_id,ea_id,weight,s2q10__1,s2q10__2,s2q10__3,s2q10__4,s2q10__5,s2q10__6,s2q10__7,s20q08,s20q09
00-00-02-59,Household,"Mainland, Tanzania",Mbeya,671,9542,719,No,No,No,No,No,No,Yes,No,
00-00-73-70,Household,"Mainland, Tanzania",Tabora,447,9118,669,No,No,No,No,No,No,Yes,No,
00-00-82-15,Household,"Mainland, Tanzania",Mara,489,8270,731,No,No,No,No,No,No,Yes,No,
00-00-85-55,Household,"Mainland, Tanzania",Manyara,471,3542,215,No,No,No,No,No,No,Yes,,
00-00-91-90,Household,"Mainland, Tanzania",Iringa,789,9005,303,No,No,No,No,No,No,Yes,No,
00-00-92-50,Household,"Mainland, Tanzania",Kagera,659,1618,1694,No,No,No,No,No,No,Yes,,
00-00-95-53,Household,"Mainland, Tanzania",Manyara,947,2577,296,No,No,No,No,No,No,Yes,,
00-00-97-34,Household,"Mainland, Tanzania",Geita,958,3184,334,No,No,No,No,No,No,Yes,No,
00-01-04-71,Household,"Mainland, Tanzania",Tabora,289,9964,824,No,No,No,No,No,No,Yes,,
00-01-05-10,Household,"Mainland, Tanzania",Songwe,249,9304,1011,No,No,No,No,No,No,Yes,No,
00-01-19-31,Household,"Mainland, Tanzania",Simiyu,563,5610,372,No,No,No,No,No,No,Yes,No,
00-01-32-98,Household,"Mainland, Tanzania",Singida,788,7843,420,No,No,No,No,No,No,Yes,No,
00-01-50-14,Household,"Mainland, Tanzania",Tabora,289,6780,365,No,No,No,No,No,No,Yes,No,
00-01-65-16,Household,"Mainland, Tanzania",Manyara,203,6448,311,No,No,No,No,No,No,Yes,No,
00-01-76-00,,"Mainland, Tanzania",,745,7725,357,No,No,No,No,No,No,Yes,No,
00-01-78-16,Household,"Mainland, Tanzania",Rukwa,954,9473,1102,No,No,No,No,No,No,Yes,Yes,1
00-01-88-91,Household,"Mainland, Tanzania",Geita,958,6279,489,No,No,No,No,No,No,Yes,No,
00-01-98-69,Household,"Mainland, Tanzania",Kilimanjaro,170,7375,319,No,No,No,No,No,No,Yes,No,
00-02-02-21,Household,"Mainland, Tanzania",Dodoma,351,7181,748,No,No,No,No,No,No,Yes,No,
00-02-05-19,Household,"Mainland, Tanzania",Mwanza,114,4698,266,No,No,No,No,No,No,Yes,No,
00-02-10-68,Household,"Mainland, Tanzania",Kigoma,582,9099,719,No,No,No,No,No,No,Yes,No,
00-02-29-95,Household,"Mainland, Tanzania",Simiyu,563,6377,358,No,No,No,No,No,No,Yes,No,
00-02-34-98,Household,"Mainland, Tanzania",Manyara,203,2277,231,No,No,No,No,No,No,Yes,No,
00-02-83-12,Household,"Mainland, Tanzania",Tabora,289,6791,399,No,No,No,No,No,No,Yes,No,
00-02-83-89,Household,"Mainland, Tanzania",Tabora,289,5251,274,No,No,No,No,No,No,Yes,No,
00-02-93-97,Household,"Mainland, Tanzania",Tabora,289,1752,716,No,No,No,No,No,No,Yes,No,
00-03-00-74,Household,"Mainland, Tanzania",Kilimanjaro,341,9428,301,No,No,No,No,No,No,Yes,No,
00-03-06-74,Household,"Mainland, Tanzania",Tanga,657,9533,214,No,No,No,No,No,No,Yes,No,
00-03-19-70,Household,"Mainland, Tanzania",Katavi,137,3783,352,No,No,No,No,No,No,Yes,No,
00-03-38-91,Household,"Mainland, Tanzania",Simiyu,563,7268,358,No,No,No,No,No,No,Yes,No,
00-03-42-08,Household,"Mainland, Tanzania",Ruvuma,986,9474,537,No,No,No,No,No,No,Yes,No,
00-03-43-13,Household,"Mainland, Tanzania",Tabora,728,1090,445,No,No,No,No,No,No,Yes,No,
00-03-45-75,Household,"Mainland, Tanzania",Iringa,739,8899,475,No,No,No,No,No,No,Yes,No,
00-03-49-11,Large Farm,Zanzibar,,,3266,,,,,,,,,No,
00-03-68-44,Household,"Mainland, Tanzania",Iringa,789,6955,450,No,No,No,No,No,No,Yes,No,
00-03-80-49,Household,"Mainland, Tanzania",Tabora,447,4030,803,No,No,No,No,No,No,Yes,No,
00-03-81-14,Household,Zanzibar,Kaskazini Pemba,518,9408,132,No,No,No,No,No,No,Yes,No,
00-03-82-26,Household,"Mainland, Tanzania",Njombe,282,8738,738,No,No,No,No,No,No,Yes,No,
00-04-23-22,Household,"Mainland, Tanzania",Geita,958,4969,560,No,No,No,No,No,No,Yes,,
00-04-26-65,Household,"Mainland, Tanzania",Kilimanjaro,170,7011,291,No,No,No,No,No,No,Yes,,
00-04-30-54,Household,"Mainland, Tanzania",Mara,925,5649,418,No,No,No,No,No,No,Yes,No,
00-04-37-37,Household,"Mainland, Tanzania",Mara,489,9498,698,No,No,No,No,No,No,Yes,,
00-04-59-21,Household,"Mainland, Tanzania",Geita,216,5791,671,No,No,No,No,No,No,Yes,No,
00-04-63-22,Household,"Mainland, Tanzania",Geita,958,4239,385,No,No,No,No,No,No,Yes,No,
00-04-69-23,Household,"Mainland, Tanzania",Singida,689,7605,830,No,No,No,No,No,No,Yes,No,
00-04-72-61,Household,"Mainland, Tanzania",Arusha,612,5825,803,No,No,No,No,No,No,Yes,No,
00-04-75-80,Household,"Mainland, Tanzania",Morogoro,735,4965,307,No,No,No,No,No,No,Yes,,
00-04-78-29,Household,"Mainland, Tanzania",Arusha,792,9729,552,No,No,No,No,No,No,Yes,No,
00-04-94-01,Household,Zanzibar,Mjini Magharibi,340,7802,116,No,No,No,No,No,No,Yes,,
00-05-00-99,Household,"Mainland, Tanzania",Manyara,947,6207,246,No,No,No,No,No,No,Yes,No,
00-05-09-44,Household,"Mainland, Tanzania",Geita,958,4494,367,No,No,No,No,No,No,Yes,No,
00-05-17-42,Household,"Mainland, Tanzania",Dodoma,851,2011,721,No,No,No,No,No,No,Yes,No,
00-05-21-27,Household,"Mainland, Tanzania",Kilimanjaro,170,7999,193,No,No,No,No,No,No,Yes,No,
00-05-31-29,Household,"Mainland, Tanzania",Geita,216,7736,455,No,No,No,No,No,Yes,No,No,
00-05-38-84,Household,"Mainland, Tanzania",Iringa,739,4971,223,No,No,No,No,No,No,Yes,No,
00-05-40-20,Household,"Mainland, Tanzania",Singida,788,1319,518,No,No,No,No,No,No,Yes,No,
00-05-43-17,Household,"Mainland, Tanzania",Tabora,289,1179,386,No,No,No,No,No,No,Yes,No,
00-05-44-46,Household,"Mainland, Tanzania",Ruvuma,517,7550,685,No,No,No,No,No,No,Yes,,
00-05-53-47,Household,"Mainland, Tanzania",Geita,958,1074,312,No,No,No,No,No,No,Yes,No,
00-05-56-44,Household,"Mainland, Tanzania",Geita,958,6662,262,No,No,No,No,No,No,Yes,No,
00-05-64-29,Household,"Mainland, Tanzania",Kagera,273,9262,1221,No,No,No,No,No,No,Yes,No,
00-05-71-28,Household,"Mainland, Tanzania",Manyara,947,3032,334,No,No,No,No,No,Yes,No,Yes,1
00-05-76-28,Household,"Mainland, Tanzania",Tanga,981,8307,393,No,No,No,No,No,No,Yes,No,
00-06-07-08,Household,Zanzibar,Kaskazini Unguja,953,8824,89,No,No,No,No,No,No,Yes,No,
00-06-20-64,Household,"Mainland, Tanzania",Mwanza,275,7994,654,No,No,No,No,No,No,Yes,,
00-06-25-48,Household,Zanzibar,Kaskazini Unguja,609,6830,79,No,No,No,No,No,Yes,No,,
00-06-25-54,Household,"Mainland, Tanzania",Simiyu,350,5292,347,No,No,No,No,No,No,Yes,No,
00-06-70-24,Household,"Mainland, Tanzania",Shinyanga,456,2360,422,No,No,No,No,No,No,Yes,,
00-06-81-45,Household,"Mainland, Tanzania",Mwanza,114,7972,239,No,No,No,No,No,No,Yes,,
00-06-89-76,Household,"Mainland, Tanzania",Arusha,612,5825,803,No,No,No,No,No,No,Yes,No,
00-07-04-90,Household,"Mainland, Tanzania",Mbeya,597,1106,478,No,No,No,No,No,No,Yes,,
00-07-11-84,Household,"Mainland, Tanzania",Ruvuma,912,1686,737,No,No,No,No,No,No,Yes,No,
00-07-19-23,Household,"Mainland, Tanzania",Manyara,203,8415,292,No,No,No,No,No,No,Yes,No,
00-07-19-87,Household,"Mainland, Tanzania",Mwanza,114,5808,248,No,No,No,No,No,No,Yes,,
00-07-23-59,Household,"Mainland, Tanzania",Tabora,289,5251,274,No,No,No,No,No,No,Yes,No,
00-07-32-40,Household,Zanzibar,Kusini Pemba,625,3525,117,No,No,No,No,No,No,Yes,No,
00-07-64-99,Household,"Mainland, Tanzania",Pwani,626,3466,989,No,No,No,No,No,No,Yes,No,
00-07-66-21,Household,"Mainland, Tanzania",Dodoma,302,9516,513,No,No,No,No,No,No,Yes,No,
00-07-74-48,Household,"Mainland, Tanzania",Kigoma,397,7676,1170,No,No,No,No,No,No,Yes,,
00-07-87-42,Household,"Mainland, Tanzania",Mwanza,275,2497,547,No,No,No,No,No,No,Yes,,
00-08-11-92,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
00-08-20-03,Household,"Mainland, Tanzania",Simiyu,563,5884,403,No,No,No,No,No,No,Yes,No,
00-08-22-79,Household,"Mainland, Tanzania",Arusha,212,8701,244,No,No,No,No,No,No,Yes,No,
00-08-27-04,Household,"Mainland, Tanzania",Dodoma,351,4820,988,No,No,No,No,No,No,Yes,No,
00-08-35-03,Household,"Mainland, Tanzania",Tabora,289,7521,353,No,No,No,No,No,No,Yes,No,
00-08-37-67,Household,"Mainland, Tanzania",Iringa,739,1192,392,No,No,No,No,No,No,Yes,No,
00-08-46-88,Household,"Mainland, Tanzania",Ruvuma,517,3070,640,No,No,No,No,No,No,Yes,No,
00-08-52-68,Household,"Mainland, Tanzania",Geita,958,4239,385,No,No,No,No,No,No,Yes,No,
00-08-87-55,Household,"Mainland, Tanzania",Morogoro,872,7238,897,No,No,No,No,No,No,Yes,No,
00-09-20-98,Household,"Mainland, Tanzania",Geita,301,1829,509,No,No,No,No,No,No,Yes,,
00-09-26-25,Household,"Mainland, Tanzania",Kilimanjaro,170,7239,425,No,No,No,No,No,No,Yes,No,
00-09-36-27,Household,"Mainland, Tanzania",Mara,925,1027,397,Yes,No,No,No,No,No,No,No,
00-09-40-71,Household,"Mainland, Tanzania",Iringa,378,1864,387,No,No,Yes,Yes,No,No,No,No,
00-09-44-34,Household,"Mainland, Tanzania",Mtwara,513,7441,1121,No,No,No,No,No,No,Yes,,
00-09-52-56,Household,"Mainland, Tanzania",Iringa,789,6946,442,No,No,No,No,Yes,No,No,No,
00-09-77-27,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,,
00-09-84-29,Household,"Mainland, Tanzania",Manyara,947,1091,250,No,No,No,No,No,No,Yes,No,
00-09-96-39,Household,"Mainland, Tanzania",Katavi,137,6229,401,No,No,No,No,No,No,Yes,,
00-10-74-29,Household,"Mainland, Tanzania",Mara,489,9985,695,No,No,No,No,No,No,Yes,,
00-11-18-53,Household,"Mainland, Tanzania",Tabora,447,2718,702,No,No,No,No,No,No,Yes,No,
00-11-19-78,Household,"Mainland, Tanzania",Ruvuma,517,7209,712,No,No,No,No,No,No,Yes,,
00-11-23-65,Household,Zanzibar,Kaskazini Unguja,145,4672,86,No,No,No,No,No,No,Yes,,
00-11-37-78,,Zanzibar,,518,5867,101,No,No,No,No,No,No,Yes,No,
00-11-67-19,Household,"Mainland, Tanzania",Mbeya,597,3021,288,No,No,No,No,No,No,Yes,No,
00-12-50-77,Household,"Mainland, Tanzania",Tabora,447,6904,627,No,No,No,No,No,No,Yes,No,
00-12-57-13,Household,"Mainland, Tanzania",Tabora,447,9118,669,No,No,No,No,No,No,Yes,No,
00-12-62-64,Household,"Mainland, Tanzania",Geita,216,2808,691,No,No,No,No,No,No,Yes,,
00-12-62-79,Household,"Mainland, Tanzania",Geita,958,7019,346,No,No,No,No,No,No,Yes,No,
00-12-73-56,Household,"Mainland, Tanzania",Mtwara,265,8048,976,No,No,No,No,No,No,Yes,No,
00-12-99-08,Household,"Mainland, Tanzania",Manyara,947,3032,334,No,No,No,No,No,No,Yes,No,
00-13-02-41,Household,"Mainland, Tanzania",Geita,958,2656,310,No,No,No,No,No,No,Yes,,
00-13-34-48,Household,"Mainland, Tanzania",Mwanza,275,6131,444,No,No,No,No,No,No,Yes,,
00-13-62-62,Household,"Mainland, Tanzania",Mwanza,275,2319,529,No,No,No,No,No,No,Yes,,
00-13-67-00,Household,"Mainland, Tanzania",Tabora,447,6017,491,No,No,No,No,No,No,Yes,No,
00-13-95-16,Household,"Mainland, Tanzania",Tanga,657,9605,546,No,No,No,No,No,Yes,No,No,
00-13-99-00,Household,"Mainland, Tanzania",Songwe,249,2740,202,No,No,No,No,No,No,Yes,No,
00-14-21-50,Household,"Mainland, Tanzania",Singida,689,8652,669,No,No,No,No,No,No,Yes,No,
00-14-24-86,Household,"Mainland, Tanzania",Mwanza,275,5184,400,No,No,No,No,No,No,Yes,No,
00-14-26-86,Household,"Mainland, Tanzania",Mbeya,671,4156,421,No,No,No,No,No,No,Yes,No,
00-14-32-82,Household,"Mainland, Tanzania",Songwe,745,6319,384,No,No,No,No,No,No,Yes,No,
00-14-60-93,Household,"Mainland, Tanzania",Mtwara,265,4936,1091,No,No,No,No,No,No,Yes,No,
00-14-61-05,Household,"Mainland, Tanzania",Geita,958,2334,326,No,No,No,No,No,No,Yes,No,
00-14-64-12,Household,"Mainland, Tanzania",Tabora,447,9207,659,No,No,No,No,No,No,Yes,No,
00-14-71-49,Household,"Mainland, Tanzania",Katavi,856,8628,657,No,No,No,No,No,No,Yes,No,
00-14-74-89,Household,Zanzibar,Kaskazini Unguja,145,8372,74,No,No,No,No,No,No,Yes,No,
00-14-77-27,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
00-14-81-09,Household,"Mainland, Tanzania",Mbeya,597,9551,535,No,No,No,No,No,No,Yes,,
00-14-88-58,Household,"Mainland, Tanzania",Mwanza,114,3058,249,No,No,No,No,No,No,Yes,,
00-15-07-77,Household,"Mainland, Tanzania",Arusha,612,3771,364,No,No,No,No,No,No,Yes,No,
00-15-19-93,Household,"Mainland, Tanzania",Arusha,612,1182,531,No,No,No,No,No,No,Yes,No,
00-15-26-33,Household,"Mainland, Tanzania",Dodoma,302,3089,494,No,No,No,No,No,No,Yes,No,
00-15-26-48,Household,"Mainland, Tanzania",Kigoma,397,1636,1148,No,No,No,No,No,No,Yes,,
00-15-46-99,Household,Zanzibar,Kaskazini Unguja,609,4635,73,No,No,No,No,No,No,Yes,No,
00-15-55-52,Household,"Mainland, Tanzania",Mara,489,3807,876,No,No,No,No,No,No,Yes,No,
00-15-56-71,Household,"Mainland, Tanzania",Tabora,289,2275,332,No,No,No,No,No,No,Yes,No,
00-15-87-03,Household,"Mainland, Tanzania",Geita,958,7136,198,No,No,No,No,No,No,Yes,No,
00-16-00-42,Household,"Mainland, Tanzania",Singida,689,7860,708,No,No,No,No,No,No,Yes,No,
00-16-10-68,Household,"Mainland, Tanzania",Kilimanjaro,341,5582,653,No,No,No,No,No,No,Yes,No,
00-16-15-75,Household,"Mainland, Tanzania",Kilimanjaro,341,1169,1335,No,No,No,No,No,No,Yes,No,
00-16-31-75,Household,"Mainland, Tanzania",Shinyanga,744,6340,605,No,No,No,No,No,No,Yes,,
00-16-33-74,Household,"Mainland, Tanzania",Mbeya,597,5872,293,No,No,No,No,No,No,Yes,,
00-16-47-99,Household,"Mainland, Tanzania",Arusha,612,7755,563,No,No,No,No,No,No,Yes,No,
00-16-49-08,Household,"Mainland, Tanzania",Singida,337,6265,485,No,No,No,No,No,No,Yes,No,
00-16-51-30,Household,"Mainland, Tanzania",Mtwara,265,4774,758,No,No,No,No,No,No,Yes,No,
00-16-56-16,Household,"Mainland, Tanzania",Mwanza,275,3098,487,No,No,No,No,No,No,Yes,,
00-16-64-17,Household,"Mainland, Tanzania",Kilimanjaro,341,3438,815,No,No,No,No,No,No,Yes,No,
00-16-72-45,Household,"Mainland, Tanzania",Kilimanjaro,341,3438,815,No,No,No,No,No,No,Yes,No,
00-16-76-09,Household,"Mainland, Tanzania",Singida,689,7545,773,No,No,No,No,No,No,Yes,No,
00-17-21-50,Household,"Mainland, Tanzania",Arusha,212,5453,231,No,No,No,No,No,No,Yes,No,
00-17-31-71,Household,"Mainland, Tanzania",Morogoro,669,4438,431,No,No,No,No,No,No,Yes,,
00-17-33-50,Household,"Mainland, Tanzania",Geita,301,5475,870,No,No,No,No,No,No,Yes,No,
00-17-36-62,Household,"Mainland, Tanzania",Songwe,745,5049,781,No,No,No,No,No,No,Yes,No,
00-17-40-49,Household,"Mainland, Tanzania",Njombe,835,7812,529,No,No,No,No,No,No,Yes,No,
00-17-63-80,Household,"Mainland, Tanzania",Kagera,273,9664,1368,No,No,No,No,No,No,Yes,No,
00-17-88-17,Household,"Mainland, Tanzania",Manyara,471,6087,310,No,No,No,No,No,No,Yes,No,
00-17-94-66,Household,"Mainland, Tanzania",Iringa,789,2734,447,No,No,No,No,No,Yes,No,No,
00-17-99-71,Household,"Mainland, Tanzania",Shinyanga,744,2269,592,No,No,No,No,No,No,Yes,No,
00-18-43-49,Household,"Mainland, Tanzania",Pwani,277,6480,438,No,No,No,No,No,No,Yes,No,
00-18-46-49,Household,"Mainland, Tanzania",Manyara,947,3586,291,No,No,No,No,No,No,Yes,,
00-18-74-52,Household,"Mainland, Tanzania",Dodoma,851,9116,626,No,No,No,No,No,No,Yes,No,
00-18-83-43,Household,"Mainland, Tanzania",Mbeya,597,7129,282,No,No,No,No,No,No,Yes,No,
00-19-02-95,Household,"Mainland, Tanzania",Dodoma,302,6364,568,No,No,No,No,No,No,Yes,,
00-19-26-13,Household,"Mainland, Tanzania",Geita,958,8135,354,No,No,No,No,No,No,Yes,No,
00-19-32-34,Household,"Mainland, Tanzania",Rukwa,954,8156,1517,No,No,No,No,No,No,Yes,No,
00-19-35-62,Household,"Mainland, Tanzania",Tabora,728,5375,727,No,No,No,No,No,No,Yes,,
00-19-35-67,Household,"Mainland, Tanzania",Mbeya,671,4156,421,No,No,No,No,No,No,Yes,No,
00-19-39-75,Household,"Mainland, Tanzania",Mtwara,513,5837,1498,No,No,No,No,No,No,Yes,No,
00-19-64-31,Household,"Mainland, Tanzania",Mtwara,265,1428,760,No,No,No,No,No,No,Yes,No,
00-19-68-59,Household,"Mainland, Tanzania",Tabora,289,2055,307,No,No,No,No,No,No,Yes,No,
00-19-78-94,Household,"Mainland, Tanzania",Kigoma,582,8146,750,No,No,No,No,No,No,Yes,No,
00-19-81-97,Household,Zanzibar,Kaskazini Pemba,842,6288,52,No,No,No,No,No,No,Yes,,
00-19-87-02,Household,"Mainland, Tanzania",Singida,788,7843,420,No,No,No,No,No,No,Yes,,
00-20-22-26,Household,"Mainland, Tanzania",Mwanza,275,3268,431,No,No,No,No,No,No,Yes,No,
00-20-24-51,Household,"Mainland, Tanzania",Mara,489,5569,696,No,No,No,No,No,No,Yes,,
00-20-24-93,Household,"Mainland, Tanzania",Shinyanga,890,7954,958,No,No,No,No,No,No,Yes,,
00-20-32-17,Household,"Mainland, Tanzania",Geita,301,5475,870,No,No,No,No,No,No,Yes,No,
00-20-67-91,Household,"Mainland, Tanzania",Mara,925,1366,456,No,No,No,No,No,No,Yes,No,
00-20-73-19,Household,"Mainland, Tanzania",Simiyu,350,5017,554,No,No,No,No,No,No,Yes,No,
00-20-95-00,Household,"Mainland, Tanzania",Manyara,947,9412,278,No,No,No,No,No,No,Yes,,
00-21-01-85,Household,"Mainland, Tanzania",Tanga,657,2929,261,No,No,No,No,No,No,Yes,No,
00-21-09-69,Household,"Mainland, Tanzania",Iringa,789,2479,433,No,No,No,No,No,No,Yes,No,
00-21-16-29,Household,"Mainland, Tanzania",Iringa,378,2785,465,No,No,No,No,No,No,Yes,No,
00-21-56-39,Household,"Mainland, Tanzania",Kilimanjaro,341,5432,869,No,No,No,No,No,No,Yes,No,
00-21-66-74,Household,"Mainland, Tanzania",Arusha,212,3930,224,No,No,No,No,No,No,Yes,No,
00-21-82-95,Household,"Mainland, Tanzania",Arusha,612,9785,554,No,No,No,No,No,No,Yes,No,
00-21-95-31,Household,"Mainland, Tanzania",Mara,489,4474,808,No,No,No,No,No,No,Yes,,
00-22-02-16,Household,"Mainland, Tanzania",Iringa,378,6348,348,No,No,No,No,No,No,Yes,No,
00-22-14-35,Household,"Mainland, Tanzania",Shinyanga,890,2321,734,No,No,No,No,No,No,Yes,No,
00-22-20-71,Household,"Mainland, Tanzania",Simiyu,563,5610,372,No,No,No,No,No,No,Yes,No,
00-22-62-30,Household,"Mainland, Tanzania",Rukwa,488,7653,723,No,No,No,No,No,No,Yes,No,
00-22-62-36,Household,"Mainland, Tanzania",Manyara,947,6178,248,No,No,No,No,No,No,Yes,No,
00-22-63-88,Household,"Mainland, Tanzania",Lindi,271,3952,700,No,No,No,No,No,No,Yes,No,
00-22-95-12,Household,"Mainland, Tanzania",Njombe,835,6415,472,No,No,No,No,No,No,Yes,,
00-23-14-32,Household,"Mainland, Tanzania",Geita,958,7019,346,No,No,No,No,No,No,Yes,No,
00-23-15-45,Household,Zanzibar,Kaskazini Pemba,148,7352,73,No,No,No,No,No,No,Yes,,
00-23-73-51,Household,"Mainland, Tanzania",Mtwara,984,5283,682,No,No,No,No,No,No,Yes,No,
00-23-91-37,Household,"Mainland, Tanzania",Kigoma,753,4177,720,No,No,No,No,No,No,Yes,No,
00-23-91-70,Household,"Mainland, Tanzania",Mara,489,3807,876,No,No,No,No,No,No,Yes,,
00-24-10-09,Household,"Mainland, Tanzania",Mbeya,597,4089,222,No,No,No,No,No,No,Yes,No,
00-24-11-83,Household,"Mainland, Tanzania",Mbeya,597,2761,361,No,No,No,No,No,No,Yes,No,
00-24-20-76,Household,"Mainland, Tanzania",Tanga,657,3336,424,No,No,No,No,No,No,Yes,No,
00-24-32-31,Household,"Mainland, Tanzania",Geita,216,1407,537,No,No,No,No,No,No,Yes,No,
00-24-34-20,Household,"Mainland, Tanzania",Kilimanjaro,170,7132,535,No,No,No,No,No,No,Yes,No,
00-24-37-43,Household,"Mainland, Tanzania",Rukwa,488,7187,830,No,No,No,No,No,No,Yes,,
00-24-39-08,Household,Zanzibar,Kusini Pemba,293,9032,96,No,No,No,No,No,No,Yes,,
00-24-51-51,Household,"Mainland, Tanzania",Mwanza,114,8206,279,No,No,No,No,No,No,Yes,No,
00-24-56-56,Household,"Mainland, Tanzania",Kilimanjaro,170,5483,417,No,No,No,No,No,No,Yes,No,
00-24-68-58,Household,"Mainland, Tanzania",Mwanza,114,1109,776,No,No,No,No,No,No,Yes,,
00-24-70-03,Household,"Mainland, Tanzania",Arusha,612,5474,429,No,No,No,No,No,No,Yes,No,
00-24-77-76,Household,Zanzibar,Kaskazini Unguja,953,8231,61,No,No,No,No,No,No,Yes,No,
00-24-87-25,Household,"Mainland, Tanzania",Kigoma,582,8715,698,No,No,No,No,No,No,Yes,,
00-25-14-26,Household,"Mainland, Tanzania",Kilimanjaro,347,3764,707,No,No,No,No,No,No,Yes,No,
00-25-19-80,Household,Zanzibar,Kaskazini Pemba,518,3394,48,No,No,No,No,No,Yes,No,No,
00-25-21-56,Household,"Mainland, Tanzania",Simiyu,949,7805,600,No,No,No,No,No,No,Yes,No,
00-25-41-90,Household,"Mainland, Tanzania",Songwe,867,3587,1044,No,No,No,No,No,No,Yes,No,
00-25-53-05,Household,"Mainland, Tanzania",Simiyu,949,7691,547,No,No,No,No,No,No,Yes,No,
00-25-59-51,Household,"Mainland, Tanzania",Katavi,242,5588,305,No,No,No,No,No,No,Yes,No,
00-25-68-54,Household,"Mainland, Tanzania",Tabora,289,4943,345,No,No,No,No,No,No,Yes,,
00-25-71-60,Household,"Mainland, Tanzania",Geita,958,6279,489,No,No,No,No,No,No,Yes,No,
00-25-71-62,Household,"Mainland, Tanzania",Manyara,471,1248,366,No,No,No,No,No,No,Yes,No,
00-25-75-19,Household,"Mainland, Tanzania",Dodoma,302,4529,503,No,No,No,No,No,No,Yes,,
00-25-98-73,Household,"Mainland, Tanzania",Ruvuma,517,9495,608,No,No,No,No,No,No,Yes,No,
00-25-99-62,Household,"Mainland, Tanzania",Dodoma,851,1671,792,No,No,No,No,No,No,Yes,No,
00-26-02-21,Household,"Mainland, Tanzania",Mara,925,9779,426,No,No,No,No,No,No,Yes,,
00-26-05-81,Household,"Mainland, Tanzania",Kigoma,582,5257,520,No,No,No,No,No,No,Yes,No,
00-26-09-98,Household,"Mainland, Tanzania",Tabora,447,4030,803,No,No,No,No,No,No,Yes,No,
00-26-15-54,Household,"Mainland, Tanzania",Kigoma,582,2347,643,No,No,No,No,No,Yes,No,No,
00-26-36-40,Household,"Mainland, Tanzania",Arusha,212,3888,199,No,No,No,No,No,Yes,No,No,
00-26-44-79,Household,"Mainland, Tanzania",Mwanza,275,7379,437,No,No,No,No,No,No,Yes,,
00-26-56-97,Household,"Mainland, Tanzania",Dodoma,351,1870,955,No,No,No,No,No,No,Yes,No,
00-26-62-90,Household,"Mainland, Tanzania",Kagera,659,4838,1553,No,No,No,No,No,No,Yes,,
00-26-86-91,Household,"Mainland, Tanzania",Songwe,867,9839,517,No,No,No,No,No,No,Yes,No,
00-26-91-04,Household,"Mainland, Tanzania",Kagera,273,9745,1895,No,No,No,No,No,No,Yes,,
00-26-91-28,Household,"Mainland, Tanzania",Tanga,838,6626,757,No,No,No,No,No,No,Yes,No,
00-26-94-02,Household,Zanzibar,Kaskazini Pemba,518,5307,76,No,No,No,No,No,No,Yes,No,
00-26-95-96,Household,"Mainland, Tanzania",Kagera,659,9315,1232,No,No,No,No,No,No,Yes,,
00-27-32-77,Household,"Mainland, Tanzania",Mwanza,275,9502,541,No,No,No,No,No,No,Yes,,
00-27-59-16,Household,"Mainland, Tanzania",Singida,689,8790,718,No,No,No,No,No,No,Yes,No,
00-27-65-36,Household,"Mainland, Tanzania",Pwani,277,1863,470,No,No,No,No,No,No,Yes,No,
00-27-68-19,Household,"Mainland, Tanzania",Kigoma,753,1242,998,No,No,No,No,No,No,Yes,No,
00-27-68-61,Household,"Mainland, Tanzania",Arusha,612,4819,609,No,No,No,No,No,No,Yes,No,
00-27-75-07,Household,"Mainland, Tanzania",Kagera,659,1618,1694,No,No,No,No,No,No,Yes,,
00-27-89-89,Household,"Mainland, Tanzania",Simiyu,350,8491,354,No,No,No,No,No,No,Yes,No,
00-28-27-64,Household,"Mainland, Tanzania",Kagera,273,3320,1651,No,No,No,No,No,No,Yes,,
00-28-52-61,Household,"Mainland, Tanzania",Iringa,789,4431,580,No,No,No,No,No,No,Yes,No,
00-28-55-82,Household,"Mainland, Tanzania",Mwanza,114,9661,302,No,No,No,No,No,No,Yes,,
00-28-57-46,Household,"Mainland, Tanzania",Simiyu,949,1201,548,No,No,No,No,No,No,Yes,No,
00-28-59-39,Household,"Mainland, Tanzania",Arusha,612,5825,803,No,No,No,No,No,No,Yes,,
00-28-66-32,Household,"Mainland, Tanzania",Ruvuma,517,1160,1177,No,No,No,No,No,No,Yes,No,
00-28-76-23,Household,"Mainland, Tanzania",Simiyu,350,7038,354,No,No,No,No,No,No,Yes,,
00-28-76-63,Household,"Mainland, Tanzania",Dodoma,302,6177,401,No,No,No,No,No,No,Yes,No,
00-28-80-31,Household,"Mainland, Tanzania",Njombe,658,6219,422,No,No,No,No,No,No,Yes,No,
00-28-82-84,Household,"Mainland, Tanzania",Manyara,947,9412,278,No,No,No,No,No,No,Yes,No,
00-29-05-73,Household,"Mainland, Tanzania",Tabora,447,8387,428,No,No,No,No,No,No,Yes,No,
00-29-09-32,Household,"Mainland, Tanzania",Manyara,471,8193,199,No,No,No,No,No,No,Yes,,
00-29-22-22,Household,"Mainland, Tanzania",Mtwara,984,1207,698,No,No,No,No,No,No,Yes,No,
00-29-39-81,Household,"Mainland, Tanzania",Mbeya,597,2504,200,No,No,No,No,No,No,Yes,No,
